Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
HDFC,EQ,10-Sep-20,1760.75,1781,1792.95,1760,1770.5,1777.45,1774.76,3245630,5760203452,118585
HDFC,W3,10-Sep-20,324.95,321.05,324,321,322.05,322.7,323.55,46800,15142290,19
HDFC,EQ,11-Sep-20,1777.45,1771,1786,1760,1765.05,1768.15,1768.63,2232185,3947909488,89221
HDFC,W3,11-Sep-20,322.7,322.05,322.05,315.25,318,318,318.31,39600,12604950,60
HDFC,EQ,14-Sep-20,1768.15,1781,1796.85,1728.4,1736.05,1738,1759.24,4061493,7145131677,168602
HDFC,W3,14-Sep-20,318,318,320,310.1,314,313.15,317.4,31800,10093470,32
HDFC,EQ,15-Sep-20,1738,1754.9,1777,1742.8,1763,1758.75,1760.23,3159537,5561510107,109456
HDFC,W3,15-Sep-20,313.15,315.05,315.05,311.55,315,315,314.84,15000,4722630,21
HDFC,EQ,16-Sep-20,1758.75,1766,1774.7,1743.45,1768,1768.15,1759.83,2592551,4562444207,108625
HDFC,W3,16-Sep-20,315,320,324,315.1,319,318.8,319.81,55200,17653680,47
HDFC,EQ,17-Sep-20,1768.15,1750,1773.2,1736.5,1749,1744.35,1749.72,3191905,5584934694,127780
HDFC,W3,17-Sep-20,318.8,319.95,320.1,318.05,318.05,318.05,320.02,166200,53187120,22
HDFC,EQ,18-Sep-20,1744.35,1752.9,1754.75,1708.3,1732.6,1724,1730.17,5642506,9762521718,179497
HDFC,W3,18-Sep-20,318.05,317.25,318.45,312,314.95,314.95,315.56,12000,3786660,19
HDFC,EQ,21-Sep-20,1724,1722.8,1738.75,1701.85,1707.75,1708.15,1723.01,3174505,5469699128,130442
HDFC,W3,21-Sep-20,314.95,315,317.95,310,310,310,312.2,9600,2997150,15
HDFC,EQ,22-Sep-20,1708.15,1716.25,1716.25,1672,1676.4,1674.85,1686.53,3615745,6098064204,178315
HDFC,W3,22-Sep-20,310,301.1,305,297.1,300,300,303.42,97200,29492790,134
HDFC,EQ,23-Sep-20,1674.85,1694,1696.65,1650.4,1667,1667.1,1673.26,4803637,8037715007,200608
HDFC,W3,23-Sep-20,300,298,301,297,298.2,298.2,299.8,16800,5036640,16
HDFC,EQ,24-Sep-20,1667.1,1646.8,1654.15,1623,1636.25,1636.85,1637.34,5673754,9289858200,197468
HDFC,W3,24-Sep-20,298.2,299.95,300,295.7,300,300,299.28,7200,2154810,8
HDFC,EQ,25-Sep-20,1636.85,1651.95,1657.8,1628.1,1652.75,1652,1645.77,4046773,6660064455,134783
HDFC,W3,25-Sep-20,300,299.95,300,296.15,300,300,299.4,7800,2335320,10
HDFC,EQ,28-Sep-20,1652,1672.9,1692.6,1658,1685,1681.45,1678.77,2739071,4598260285,105938
HDFC,W3,28-Sep-20,300,300,300,298,300,300,299.89,38400,11515770,44
HDFC,EQ,29-Sep-20,1681.45,1692,1720,1682.1,1712.65,1713.1,1701.62,3696138,6289406785,143476
HDFC,W3,29-Sep-20,300,300,300.5,299,299,299,299.99,26400,7919700,33
HDFC,EQ,30-Sep-20,1713.1,1716.9,1744.25,1703.2,1733,1740.05,1728.35,3594715,6212925377,170194
HDFC,W3,30-Sep-20,299,295,299.95,295,298.5,298.5,298.77,12600,3764550,19
HDFC,EQ,01-Oct-20,1740.05,1755,1799.85,1750,1787.8,1790.65,1784.49,3706206,6613676467,126251
HDFC,W3,01-Oct-20,298.5,300,300,298.1,300,299.55,299.92,51000,15295980,67
HDFC,EQ,05-Oct-20,1790.65,1784,1816.5,1775.7,1782.35,1785.1,1799.82,4056801,7301503881,184302
HDFC,W3,05-Oct-20,299.55,304.95,305,300,304,304.95,304.58,55200,16812540,19
HDFC,EQ,06-Oct-20,1785.1,1803.15,1943.7,1803.15,1920,1934.4,1896.91,16829628,31924298556,538170
HDFC,W3,06-Oct-20,304.95,314.95,321.7,309,320,319.95,316.82,256800,81358110,224
HDFC,EQ,07-Oct-20,1934.4,1945,1964.85,1908.85,1952,1948.75,1941.72,7038044,13665892734,249998
HDFC,W3,07-Oct-20,319.95,319.7,320,317,319.95,318.85,319.56,39600,12654600,58
HDFC,EQ,08-Oct-20,1948.75,1952.5,1988.45,1938.5,1947.8,1949.25,1965.11,4589506,9018901318,200847
HDFC,W3,08-Oct-20,318.85,319.95,329.95,319,320.25,321.7,322.41,136200,43912050,145
HDFC,EQ,09-Oct-20,1949.25,1945,2029.85,1938,1966,1957.65,1987.39,10848230,21559674797,324810
HDFC,W3,09-Oct-20,321.7,326.7,346.7,322.5,332.4,330.25,329.62,216600,71395950,260
HDFC,EQ,12-Oct-20,1957.65,1965,1998.95,1942.3,1963.95,1965.4,1967.77,3651557,7185427649,138149
HDFC,W3,12-Oct-20,330.25,337.85,337.85,330,332,333.15,332.29,79200,26317680,90
HDFC,EQ,13-Oct-20,1965.4,1962,1986.65,1930.55,1939,1943.4,1955.06,3351027,6551466215,136009
HDFC,W3,13-Oct-20,333.15,331.05,331.05,325,325,325,329.57,134400,44293680,84
HDFC,EQ,14-Oct-20,1943.4,1935,1989,1919.05,1978.1,1979.85,1950.1,3108218,6061329760,117744
HDFC,W3,14-Oct-20,325,321.1,330,321,330,329.95,328.91,30000,9867150,34
HDFC,EQ,15-Oct-20,1979.85,1983,2020,1938.25,1947.05,1947.2,1983.18,5170267,10253552906,185795
HDFC,W3,15-Oct-20,329.95,330,342.2,319,320,320,329.88,85200,28105470,83
HDFC,EQ,16-Oct-20,1947.2,1948.4,1983.7,1939.35,1958.6,1961.7,1959.14,3238617,6344903292,131973
HDFC,W3,16-Oct-20,320,320.05,326,320.05,326,326,324.01,2400,777630,3
HDFC,EQ,19-Oct-20,1961.7,1985,2039.9,1983.1,2033.25,2031.5,2020.74,6591617,13319959804,188322
HDFC,W3,19-Oct-20,326,333.85,333.85,330,332.9,332.35,331.44,124200,41164950,123
HDFC,EQ,20-Oct-20,2031.5,2025,2041.7,2004.05,2017.1,2015.3,2021.91,4733065,9569809331,188405
